??,from,to,????,????,????,,,,,,,,,
????,2017/5/10 0:00,2017/5/11 23:59,???,????,???,,,,,,,,,
????,??????,?????,??????,?????,??,Lot?,????,,,????,Open??,Open?,Close??,Close?
USD/JPY,2017/5/11 10:15,114.16,2017/5/11 10:15,114.151,?,300,1.7131E+15,,,,,,,
USD/JPY,2017/5/11 10:13,114.134,2017/5/11 10:13,114.142,?,500,1.7131E+15,,,"GBPJPY, 2010-05-25 18:03:16, -127.97000, 2010-05-26 03:47:53, 129.70000",,,,
USD/JPY,2017/5/11 9:55,114.237,2017/5/11 9:56,114.254,?,500,1.7131E+15,,,,,,,
USD/JPY,2017/5/10 23:32,113.863,2017/5/10 23:33,113.886,?,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:24,113.892,2017/5/10 22:32,113.892,?,100,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:31,113.852,2017/5/10 22:31,113.867,?,100,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:00,113.854,2017/5/10 22:19,113.855,?,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:02,113.826,2017/5/10 22:09,113.831,?,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 21:21,113.853,2017/5/10 21:22,113.869,?,200,1.713E+15,,,,,,,
USD/JPY,2017/5/10 20:57,113.808,2017/5/10 20:58,113.822,?,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 17:03,113.883,2017/5/10 17:04,113.88,?,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 5:55,113.99,2017/5/10 15:47,113.99,?,500,1.713E+15,,,,,,,
USD/JPY,2017/5/10 11:00,113.839,2017/5/10 15:21,113.848,?,500,1.713E+15,,,,,,,
USD/JPY,2017/5/10 9:37,113.865,2017/5/10 10:01,113.869,?,500,1.713E+15,,,,,,,
